iter	Passed	Remaining
402	11412	5578
403	11434	5547
404	11460	5517
405	11485	5488
406	11508	5457
407	11531	5426
408	11552	5394
409	11576	5364
410	11599	5334
411	11621	5302
412	11643	5271
413	11667	5242
414	11691	5212
415	11720	5184
416	11747	5155
417	11772	5125
418	11800	5097
419	11824	5067
420	11851	5038
421	11873	5008
422	11899	4979
423	11923	4949
424	11951	4921
425	11977	4892
426	12001	4862
427	12028	4834
428	12055	4805
429	12079	4775
430	12108	4747
431	12139	4720
432	12162	4690
433	12186	4661
434	12211	4632
435	12239	4603
436	12268	4575
437	12296	4547
438	12324	4519
439	12349	4490
440	12382	4464
441	12416	4438
442	12439	4408
443	12464	4379
444	12491	4350
445	12515	4321
446	12539	4292
447	12562	4262
448	12588	4233
449	12612	4204
450	12635	4174
451	12659	4145
452	12686	4116
453	12708	4086
454	12732	4057
455	12756	4028
456	12784	4000
457	12806	3970
458	12828	3940
459	12852	3911
460	12880	3883
461	12902	3854
462	12926	3824
463	12957	3797
464	12980	3768
465	13004	3739
466	13028	3710
467	13054	3681
468	13079	3653
469	13104	3624
470	13126	3595
471	13155	3567
472	13183	3539
473	13206	3510
474	13230	3481
475	13257	3453
476	13278	3424
477	13308	3396
478	13330	3367
479	13355	3338
480	13378	3309
481	13401	3280
482	13425	3252
483	13456	3225
484	13478	3195
485	13508	3168
486	13534	3140
487	13559	3112
488	13586	3083
489	13610	3055
490	13636	3027
491	13662	2999
492	13689	2971
493	13715	2942
494	13738	2914
495	13765	2886
496	13791	2858
497	13819	2830
498	13840	2801
499	13862	2772
500	13888	2744
501	13912	2715
502	13938	2687
503	13960	2659
504	13987	2631
505	14014	2603
506	14042	2575
507	14069	2548
508	14093	2519
509	14118	2491
510	14141	2462
511	14164	2434
512	14191	2406
513	14216	2378
514	14244	2350
515	14263	2322
516	14293	2294
517	14319	2266
518	14345	2238
519	14372	2211
520	14397	2183
521	14422	2155
522	14451	2127
523	14476	2099
524	14511	2073
525	14539	2045
526	14561	2016
527	14584	1988
528	14608	1960
529	14635	1933
530	14663	1905
531	14688	1877
532	14711	1849
533	14734	1821
534	14759	1793
535	14783	1765
536	14806	1737
537	14832	1709
538	14860	1681
539	14884	1653
540	14910	1626
541	14937	1598
542	14960	1570
543	14984	1542
544	15010	1514
545	15034	1486
546	15063	1459
547	15085	1431
548	15110	1403
549	15136	1376
550	15161	1348
551	15184	1320
552	15205	1292
553	15233	1264
554	15267	1237
555	15293	1210
556	15318	1182
557	15342	1154
558	15367	1127
559	15394	1099
560	15420	1072
561	15444	1044
562	15470	1016
563	15493	988
564	15515	961
565	15539	933
566	15576	906
567	15601	878
568	15628	851
569	15654	823
570	15677	796
571	15705	768
572	15731	741
573	15755	713
574	15782	686
575	15805	658
576	15831	631
577	15863	603
578	15888	576
579	15914	548
580	15938	521
581	15965	493
582	15991	466
583	16015	438
584	16039	411
585	16063	383
586	16087	356
587	16115	328
588	16141	301
589	16166	274
590	16190	246
591	16214	219
592	16240	191
593	16265	164
594	16291	136
595	16322	109
596	16360	82
597	16386	54
598	16409	27
599	16431	0
