iter	MultiClass
146	0.2403842573
147	0.2398231764
148	0.239416081
149	0.2391471941
150	0.2385681583
151	0.2381883616
152	0.2377860426
153	0.2373296023
154	0.2367981906
155	0.2362839631
156	0.2358893843
157	0.2354538687
158	0.2350246309
159	0.2344875664
160	0.2342223637
161	0.2338070506
162	0.2334824866
163	0.2330019132
164	0.2325846917
165	0.2320718074
166	0.2317385028
167	0.2314488353
168	0.2311340316
169	0.2308572125
170	0.2304434829
171	0.2301112954
172	0.2298687126
173	0.2295501037
174	0.2290265301
175	0.2286877234
176	0.2281760358
177	0.2279825334
178	0.2276781903
179	0.2272922171
180	0.2268991342
181	0.2265193984
182	0.2261607371
183	0.225923122
184	0.2256953241
185	0.2253594247
186	0.2250535121
187	0.2246350848
188	0.2243961681
189	0.2240734918
190	0.2239031586
191	0.2235528102
192	0.2231962413
193	0.2229732771
194	0.2225763311
195	0.2223144448
196	0.2218394874
197	0.2216343238
198	0.2214222412
199	0.2210606188
200	0.2208239823
201	0.2205844349
202	0.2201090928
203	0.2199077246
204	0.2197028503
205	0.2195210878
206	0.2193915438
207	0.2192670208
208	0.2190009905
209	0.2187291021
210	0.2183608456
211	0.2181715852
212	0.2180490418
213	0.2178671718
214	0.2176130578
215	0.2174027877
216	0.2171453905
217	0.2169271968
218	0.2167071349
219	0.2164432573
220	0.216120719
221	0.2159736979
222	0.2157963739
223	0.2155881071
224	0.2154047173
225	0.2152920129
226	0.2151440164
227	0.2149093255
228	0.2146159551
229	0.2144713712
230	0.2142642549
231	0.2141474435
232	0.2139727372
233	0.2138843025
234	0.2136763383
235	0.2134232929
236	0.2132248689
237	0.2129958929
238	0.2128767486
239	0.2126849171
240	0.2125165971
241	0.2124237684
242	0.2122311418
243	0.2121032346
244	0.2118791803
245	0.2117122427
246	0.2115615395
247	0.2113998783
248	0.2112682266
249	0.2111507214
250	0.2110084339
251	0.2107644433
252	0.2106650229
253	0.2105460743
254	0.2103275697
255	0.2102127315
256	0.2100914459
257	0.2099682287
258	0.2099008546
259	0.2097895582
260	0.2096994922
261	0.2095931539
262	0.2094281719
263	0.2092927878
264	0.2091661314
265	0.2090288951
266	0.2088534298
267	0.2087618708
268	0.2086327412
269	0.2085060046
270	0.2084310397
271	0.2083353127
272	0.2081611038
273	0.2081159638
274	0.2079359923
275	0.2078334368
276	0.2077190267
277	0.2075671903
278	0.2074602828
279	0.2073529186
280	0.2072351132
281	0.2071023667
282	0.2070196283
283	0.2069349585
284	0.2068118235
285	0.2067434934
286	0.2066511701
287	0.2065121477
288	0.2063616579
289	0.2063375941
290	0.2062669955
291	0.2061185085
292	0.2059883681
293	0.2059592867
294	0.2058834895
295	0.2057932124
296	0.2056514731
297	0.2054921462
298	0.2053506719
299	0.2052582026
300	0.2051954143
301	0.2051561013
302	0.2049858327
303	0.2048724592
304	0.2048202969
305	0.2047015396
306	0.2046656902
307	0.2046133173
308	0.2045185542
309	0.2044211917
310	0.204376499
311	0.2043098167
312	0.204265339
313	0.2041804843
314	0.2040642861
315	0.2039231244
316	0.2038300285
317	0.2037408147
318	0.2036386464
319	0.2035663761
320	0.2034942897
321	0.2034045472
322	0.2032952895
323	0.2032265171
324	0.2030803206
325	0.2029948685
326	0.2029020985
327	0.2027925618
328	0.2026922548
329	0.2025678345
330	0.2025072022
331	0.2023905575
332	0.2022955827
333	0.2021741359
334	0.2020990891
335	0.2019281623
336	0.2018350721
337	0.2017173077
338	0.201607089
339	0.2015251164
340	0.2014550656
341	0.2012948943
342	0.2011089507
343	0.2010106806
344	0.2009541474
345	0.2008914615
346	0.200792315
347	0.2007069018
348	0.2006285617
349	0.2005605131
350	0.2004866438
351	0.2003908791
352	0.2003580174
353	0.2002682778
354	0.2001909873
355	0.2001255736
356	0.2000329821
357	0.1999712817
358	0.1998371638
359	0.199737924
360	0.1996453669
361	0.1995923061
362	0.1994981722
363	0.1994187025
364	0.1993395317
365	0.19929018
366	0.1992499001
367	0.199139771
368	0.1990817146
369	0.1990139642
370	0.198908354
371	0.1988149943
372	0.1987724943
373	0.1987303993
374	0.1986784906
375	0.198646361
376	0.1985682697
377	0.1985110239
378	0.1984538468
379	0.1983877594
380	0.19831636
381	0.1981993873
382	0.1981150282
383	0.1979795669
384	0.1979186217
385	0.1978920381
386	0.1978032262
387	0.1977481835
388	0.1976409452
389	0.1975530345
390	0.1974556756
391	0.1973854817
392	0.1973640196
393	0.1972647755
394	0.1971210733
395	0.1970252099
396	0.1969447686
397	0.1968953658
398	0.1968163512
399	0.1967292028
400	0.1966818286
401	0.1965659377
402	0.1964884198
403	0.1964329539
404	0.1963555099
405	0.1962871477
406	0.1962416722
407	0.1961924776
408	0.1961500049
409	0.1961015471
410	0.196070038
411	0.1960242186
412	0.1960018789
413	0.1959256438
414	0.1958580213
415	0.1957693579
416	0.1957194053
417	0.1956595612
418	0.1956023328
419	0.1955669464
420	0.1954908597
421	0.1954659225
422	0.1954155813
423	0.195365877
424	0.1952911844
425	0.1952466745
426	0.1951831316
427	0.1950869844
428	0.1949986129
429	0.1949361158
430	0.1948825219
431	0.1948003042
432	0.1947672817
433	0.1947304022
434	0.1945941129
435	0.1945215768
436	0.19440076
437	0.19433353
438	0.1942590427
439	0.1941802516
440	0.1940983976
441	0.1940123252
442	0.1939773945
443	0.1938982565
444	0.1938348045
445	0.1937578093
446	0.193690082
447	0.193654822
448	0.1935187471
449	0.1934729402
450	0.1934016604
451	0.1933484601
452	0.1932634061
453	0.1932295744
454	0.1931652802
455	0.193116511
456	0.1930418774
457	0.1929814062
458	0.1929310272
459	0.1928851082
460	0.1928119959
461	0.1928000922
462	0.1927232461
463	0.1926452228
464	0.1926295718
465	0.1925577236
466	0.19246534
467	0.1924117971
468	0.192350117
469	0.1922872722
470	0.1922649733
471	0.1921989411
472	0.1921582906
473	0.192135114
474	0.1920862077
475	0.1920241756
476	0.191970698
477	0.191912601
478	0.1918506149
479	0.1917961108
480	0.1917610898
481	0.1917228238
482	0.1916797608
483	0.1916065735
484	0.191569305
485	0.1915282751
486	0.1914659914
487	0.1913854622
488	0.1912863054
489	0.191232753
490	0.1911754935
491	0.1911018625
492	0.1910392057
493	0.1909761191
494	0.1909213159
495	0.190860124
496	0.1908101799
497	0.1907167805
498	0.1907028883
499	0.1906648056
500	0.1906074568
501	0.1905294471
502	0.1904609389
503	0.1904306681
504	0.1903730501
505	0.1903077769
506	0.1902550528
507	0.1901727885
508	0.1901338919
509	0.1901038405
510	0.1900538428
511	0.1900026133
512	0.1899270155
513	0.1899055831
514	0.1898340429
515	0.1898197687
516	0.1897537805
517	0.1897002702
518	0.1896240423
519	0.1895582617
520	0.189511256
521	0.1894666844
522	0.189388291
523	0.1893460373
524	0.1892709543
525	0.1892112072
526	0.1891881974
527	0.1891517267
528	0.1890836096
529	0.1890344161
530	0.1889706156
531	0.1889354409
532	0.188891162
533	0.1888584337
534	0.1887986949
535	0.1887485683
536	0.1886963577
537	0.1886214603
538	0.188570853
539	0.188520765
540	0.1884799543
541	0.1884286144
542	0.1884057688
543	0.1883602779
544	0.1883260835
545	0.1882749382
546	0.1882063995
547	0.1881852844
548	0.1881375974
549	0.1880639702
550	0.1879879998
551	0.1879591392
552	0.1879306386
553	0.1878521216
554	0.1877903845
555	0.1877634432
556	0.1877182475
557	0.187678575
558	0.1876266395
559	0.1875578251
560	0.1874801155
561	0.1874313925
562	0.1873701359
563	0.1873131334
564	0.187285082
565	0.1872421322
566	0.1872053508
567	0.1871660162
568	0.187141757
569	0.1870972291
570	0.1870524759
571	0.1870112219
572	0.1869602975
573	0.1869155459
574	0.186871815
575	0.1868446028
576	0.1868015419
577	0.1867542506
578	0.1866966392
579	0.1866114535
580	0.1865702433
581	0.1865026234
582	0.1864383954
583	0.1864124207
584	0.186368483
585	0.1863325636
586	0.1862903135
587	0.18624553
588	0.1861908588
589	0.1861358429
590	0.1861001042
591	0.1860361012
592	0.1859753328
593	0.1859353071
594	0.1858976045
595	0.1858685707
596	0.1858184072
597	0.1857691882
598	0.1857244911
599	0.185697135
